,Name,Style,Description
2650,JabeerIñi mo.sey.ak ,American IPA - 5.6 º,"JabeerIñi mo.sey.ak
American IPA
Explosivamente Frutal
Grandes cantidades de lúpulo Mosaic junto a 4 tipos de maltas de cebada le confieren a esta ceveza su toque distintivo y potente.
La magia de esta IPA está en que tratamos el Iúpulo con técnicas y a temperaturas diferentes durante  ..."
2651,"Ruben’s Schwarz starstarstarstar_halfstar_border 3,29 ",Schwarzbier (Black Beer) - 4.4 º - 34 IBU,"Ruben’s Schwarz
Cerveza lager negra sin filtrar. Color muy oscuro. Amargor medio. Refrescante, sabor definido, consistente, suave, torrefacto del café y regaliz. Suave y ligera por ser tipo lager."
2652,Four Lions Red IPA ,India Pale Ale - 6.3 º - 65 IBU,"Four Lions Red IPA
Red Indian Pale Ale
Predominio de maltas sobre lúpulos. Cuerpo, alcohol y amargor medios."
2653,"Forca Olot IPA starstarstar_halfstar_borderstar_border 2,66 ",India Pale Ale - 5 º,"Forca Olot IPA
Indian Pale Ale"
2654,"Forca Besalú Negra Suau starstarstarstar_halfstar_border 3,64 ",Bock - 4.9 º,"Forca Besalú Negra Suau
Estil Bock"
2655,"Forca Bueno, Pues Molt Bé, Pues Adiós Stout starstarstarstar_borderstar_border 3,24 ",Stout - 6 º - 43 IBU,"Forca Bueno, Pues Molt Bé, Pues Adiós
And Drink Forca Beer
Stout negra
En referencia a la épica respuesta de Jose Luis Trapero, major de los Mossos de Escuadra, a los periodistas que se convirtió en Trending Topic
Esta cerveza se produce en varios estilos y versiones:
Negra Stout
Torr ..."
2656,"Forca La Vall d’en Bas Rossa starstarstarstar_borderstar_border 2,80 ",Blonde Ale - 4.8 º,Forca La Vall d’en Bas Rossa
2657,"Ambar Avena starstarstarstar_borderstar_border 3,16 ",Amber Ale - 6.4 º,"Ambar Avena
Quinta cerveza de edición limitada perteneciente a la colección Ambiciosas Ambar. Su base de avena es protagonista en el proceso de elaboración y da nombre a esta cerveza, Ambar Avena. Combina con maestría tres tipos de malta, dos de cebada, una malta pálida de origen español ..."
2658,"Aliada Tipo Lager starstarstar_halfstar_borderstar_border 2,33 ",Lager - 4.8 º,Aliada Tipo Lager
2659,Mercadona Cerveza Reserva ,Bock - 7.2 º,"Mercadona Cerveza Reserva
La nueva Cerveza Reserva de Mercadona se presenta con 7,2º de alcohol, lo que la hace perfecta para esos momentos en los que se prefiere degustar una cerveza algo más especial.
Su intenso sabor se encarga de ello. Si quieres disfrutar al máximo de la cerveza Reser ..."
2660,Mercadona Doble Malta ,Oktoberfest-Marzen - 7.4 º,"Mercadona Doble Malta
La nueva cerveza Doble Malta de Mercadona alcanza los 7,4º de alcohol, por lo que de la misma forma que pasa con la cerveza Reserva, también ofrece un sabor muy intenso, apoyado en su doble malta.
Le caracteriza un color tostado y un sabor principalmente amargo de prin ..."
2661,"Sanfrutos / Yakka Winter Grape Ale starstarstarstar_halfstar_border 3,52 ",Christmas-Winter Specialty Spiced Beer - 7.7 º - 45 IBU,"Sanfrutos / Yakka Winter Grape Ale
Versión muy particular de una Triple Belga con uva en maceración y mosto de uva en fermentación. Segunda edición de esta colaboración entre Sanfrutos y Yakka. Cerveza de temporada, compleja, cobriza, intensa y fragante. Un trocito de calidez para tu invi ..."
2662,"Yakka / Nøgne Ø Two Options starstarstarstar_borderstar_border 3,16 ",Wood-Aged Beer - 8.1 º - 13 IBU,"Yakka / Nøgne Ø Two Options
Oatmeal Golden Ale Barrel Aged colaboración con Nøgne Ø Det Kompromissløse Bryggeri A/S.
Blonde Ale con avena a raudales y mecida durante 7 meses en barricas de tinto monastrell que llega en esta época de blindajes y fronteras para tender un puente, estrech ..."
2663,"Domus / Letra Catedrale starstarstarstar_halfstar_border 3,65 ",Red Ale - 8.5 º,"Imperial Red Ale
w/juniper
Con enebro
------------
Uma Imperial Red Ale com zimbro com muito caracter e sabor."
2664,"Basque Oak Akua starstarstarstar_halfstar_border 3,45 ",Belgian Blonde Ale - 6 º - 25 IBU,"Basque Oak Akua
Belgian Blonde Ale
AKUA (nombre del ghanés, nacido un martes)
Sencilla y fácil de beber, perfecta en cualquier momento. Sabor cítrico y muy refrescante. Elaborada con lúpulos y una malta que le otorga un cuerpo ligero con espuma blanca y cremosa. De color dorado pálido,  ..."
2665,"Basque Oak Rooikop starstarstarstar_borderstar_border 3,21 ",Red Ale - 6 º - 30 IBU,"Basque Oak Rooikop
Session Red Ale
Rooikop – del Afrikaans significa – rojiza. Tiene un color cobre profundo, con un suave gusto de malta al principio del trago y finos toques de lúpulo al final. De espuma baja, el sabor de maltas caramelizadas prevalece sobre los aromas florales y fruto ..."
2666,"Basque Oak Hoppy Passion starstarstarstar_borderstar_border 3,11 ",Pale Ale - 6 º - 80 IBU,"Basque Oak Hoppy Passion
Summer Pale Ale
De un elegante color dorado y rematada con una tupida corona de espuma blanca. Su aroma es de frutos rojos, granadilla y cítricos. Con un cierto carácter amargo y seco, mantiene en boca el sabor de frutos rojos.¡Perfecta para acompañar carnes a la ..."
2667,"Basque Oak Vorfreude starstarstarstar_halfstar_border 3,28 ",American IPA - 6.3 º - 80 IBU,"Basque Oak Vorfreude
American IPA
Vorfreude - del alemán, “preilusión” refleja el estado de ánimo que alguien experimenta al pensar y saber que está a punto de suceder algo bueno.
De color amarillo pálido, coronada por una espuma persistente, compacta y de color blanco de buena rete ..."
2668,"Casa Dalmases Aquelarre starstarstarstar_halfstar_border 3,31 ",India Pale Ale - 6 º - 60 IBU,"Casa Dalmases Aquelarre IPA
Cervesa llupulada, aromàtica, amb cos i gust persistent.
Aquelarre, IPA de malt d’ordi, amb gust marcat, llupulada, aromàtica i amb cos. De color ambre, amargor potenciada, integrada i amb una agradable persistència. Alcohol: 6% vol. i Ibus: 60"
2669,"Redneck Atchafalaya starstarstarstarstar_border 3,76 ",American IPA - 6.5 º - 55 IBU,"Redneck Atchafalaya
Moonshiner Series American IPA"
2670,Mala Gissona Halley ,India Pale Ale - 5.5 º - 34 IBU,"Mala Gissona Halley
Red IPA
Red Ipa con centeno. Caracterizada el lúpulo Comet. Homenaje a Edmund Halley, astrónomo, matemático y meteorólogo que calculó la órbita del cometa que lleva su nombre."
2671,"Mala Gissona Autumn Tide 2017 starstarstarstarstar_border 3,80 ",American Pale Ale - 4.5 º,"Mala Gissona Autumn Tide 2017
Harvest Moon Pale Ale
Elaborada con 30 KG de Columbus fresco recogido el mismo día en Olite, Navarra."
2672,"Mala Gissona Summer Tide 2017 starstarstarstar_halfstar_border 3,69 ",India Pale Ale - 4.2 º - 32 IBU,"Mala Gissona Summer Tide 2017
Session IPA
Vuelve la marea de verano. Este año con una session IPA de 4,2 % elaborada con lúpulos Amarillo y Centennial. Fresca, tropical y resinosa."
2673,Barbas Series Classical Fighters #2 ,American Amber Ale - 5 º - 25 / 40 IBU,"Barbas Series Classical Fighters #2 American Amber Ale
Amber Ale elaborada con lúpulos americanos afrutados y herbales. Con aportaciones de maltas caramelo ligeras, para dar color y añadir untuosidad y notas dulces. Para equilibrar perfectamente con las notas tropicales de los lúpulos ameri ..."
2674,"San Miguel Manila starstarstarstar_borderstar_border 3,03 ",Blonde Ale - 5.8 º,"San Miguel Manila
San Miguel Manila es una cerveza especialmente lupulada, elaborada con lúpulos aromáticos que acentúan aromas y sabores. Inspirada en su ciudad natal (Manila), San Miguel Manila invita a descubrir nuevos matices cerveceros, ya que está elaborada con la experiencia cervece ..."
2675,"Alkimia Trascorrales Mágica starstarstarstar_halfstar_border 3,31 ",American Amber Ale - 5.5 º,"Alkimia Trascorrales Mágica
nº 1
American Amber Ale
En su aroma destaca el caramelo, acompañado de notas tostadas y torrefactas. En boca, el caramelo está tambien muy presente, al igual que la malta torrefacta. Toques de café y frutos secos."
2676,"Lo Vilot Tropical Funky starstarstarstar_halfstar_border 3,59 ",Berliner Weisse - 4.8 º - 16 IBU,"Lo Vilot 14 Tropical Funky
Berliner Weisse
Dry hopped fruit sour
Ale àcida, color albercoc i afruitada. Temperatura 6-8ºC.
Mescla d’estils entre les cerveses àcides amb fruites i les IPAs. Elaborada amb albercocs naturals locals i gran quantitat de llúpol afegit desprès de la fermentaci� ..."
2677,"Lo Vilot Sant Joseph starstarstarstar_halfstar_border 3,30 ",Pale Ale - 4.5 º - 30 IBU,"Lo Vilot 11 Sant Joseph
Pale Ale Gluten free
Ale rossa, cos mig, suau i sense gluten (Nº de llicència ES-036-001). Temperatura: 4-8ºCPale Ale elaborada amb ingredients de cultiu propi ecològic, color daurat i baixa carbonatació. En boca cos mig i lleugera amargor que queda equilibrada amb  ..."
2678,"Lo Vilot PsicoCherry starstarstarstar_halfstar_border 3,46 ",Fruit Lambic - 4.5 º - 19 IBU,"Lo Vilot 13 PsicoCherry 
Fruit Sour Ale
Ale ácida color cereza, suave y refrescante. Temperatura 6-8ºC.
Cerveza elaborada con lactobacillus, sacharomyces y con cerezas naturales de Almacellas. De cuerpo bajo – medio y con una acidez láctica que la hace muy refrescante y bebible. Esta a ..."
2679,Cingles Barley Wine ,American Barleywine - 12 º - 27 IBU,"Cingles Barley Wine
Barley Wine
Cervesa fosca reposada en bota de roure durant un període d’entre 30 i 60 dies, d’entrada suau i lleugerament alcoholica al final. Cervesa amb molt de cos i d’amargor subtil."
2680,Cingles IPA ,India Pale Ale - 6.2 º - 60 IBU,"Cingles IPA
Indian Pale Ale
Cervesa pàlida, fresca i marcadament d’entrada suau i d’amargor moderadament pronunciada, ben integrada i llarga en boca."
2681,Cingles El Gall ,Porter - 6.9 º - 24.6 IBU,"Cingles El Gall - El Gall Negre - El Gall Negra
Cervesa Negre amb Mel
Color negre Intens. Intensa i plena, amb molt de cos i poca amargor.
“Un bon dia es va llevar i com solia li va dir a l’amo; ‘Que no sigui pas aquest, senyor, el matí en el que m’heu de degollar! Tinc entès que a ..."
2682,Cingles El Poeta ,Witbier - 6.7 º - 25 IBU,"Cingles El Poeta
Cervesa de Blat
Color blanc / daurat pàl·lid. Afruitada, lleugerament amarga i molt aromàtica.
“Observa, gira el cap cantó a cantó i pensa... Pensa que li agradaria veure la boira des de més amunt, així que camina... camina amunt fins al punt de veure-la... Fins a t ..."
2683,Cingles El Bandoler ,Red Ale - 6.4 / 6.9 º - 16 IBU,"Cingles El Bandoler
Cervesa Torrada amb Mel
Cervesa fosca amb tons vermellosos. Suau, afruitada i d’amargor moderada
“Llargs havien estat els anys que havia viscut fora, però quan va tornar, ningú va dubtar de qui era... Va entrar a la taberna entre les mirades atònites de tots els ta ..."
2684,Cingles La Minyona ,Pale Ale - 5.3 / 5.9 º - 25 IBU,"Cingles La Minyona
Cervesa Rossa
Color daurat pàl·lid. Suau, lleugerament cítrica i amb notes d’amargor
“- Teniu el cap ple de pardals, senyoreta! – Li repetien sempre. 
Ja quasi havia preparat totes les maletes i aquella nit, per fi, faria volar tants de pardals!”...
 "
2685,Garage Beer Co / La Pirata Downfall ,American IPA - 7.5 º,"Garage Beer Co / La Pirata Downfall
IPA 7.5% ABV with a new experimental hop variety AU35"
2686,"La Cabra del Maresme Caribenya starstarstarstar_borderstar_border 3,12 ",India Pale Ale - 6.8 º - 80 IBU,"La Cabra del Maresme Caribenya - Caribeña Indian Pale Ale
Una Caribeña muy equilibrada, de color bronze y sabor intenso. En su seva elaboración hacemos servir mango natural que le aporta sabores tropicales y toques de resina. El amargor consigue los 80 Ibus, característicos de este estilo  ..."
2687,"La Cabra del Maresme Dolce Vita starstarstarstar_borderstar_border 3,09 ",Blonde Ale - 5.2 º,"La Cabra del Maresme Dolce Vita Blonde Ale
Cerveza rubia de cuerpo ligero y aroma de lúpulo europeo. De fermentación alta y maduración lenta. Es una cerveza fresca que invita a un segundo trago."
2688,"La Cabra del Maresme Tropical starstarstar_halfstar_borderstar_border 2,75 ",American Pale Ale - 4.8 º,"La Cabra del Maresme Tropical American Pale Ale
Una cerveza rubia dorada, de gusto y aroma intenso, de amargura redonda y moderada. Lúpulos americanos aromáticos hacen que esta cerveza no deje indiferente a los amantes de las cervezas aromáticas.
 "
2689,"La Cabra del Maresme Perla Negra starstarstarstar_halfstar_border 3,25 ",Robust Porter - 5.6 º,"La Cabra del Maresme Perla Negra Robust Porter
Cerveza oscura negra de cuerpo medio alto, donde las maltas tostadas predominan en su sabor final, aportando notas sutiles de cafè y choolate. Cerveza sedosa de espuma compacta y burbuja fina. Lúpulos para compensar el dulzor pero sin dejarse notar."
2690,Keler Brown ,Schwarzbier (Black Beer) - 6 º,"Keler Brown 
La malta tostada de la cerveza negra le da un color oscuro característico mientras que su sabor aporta notas torrefactas y aromas a cacao, café y caramelo. El color caoba oscuro con reflejos granates es una de sus señas, además de la abundante espuma de color marrón claro. P ..."
2691,"Zeta / El Pedal Malabrocca starstarstarstar_halfstar_border 3,56 ",American Pale Ale - 5.7 º - 50 IBU,"Zeta / El Pedal Malabrocca
American Pale Ale
Not juicy, not hazy, simply. Mosaic, Cascade, Maris Otter
Clásica Pale Ale en su versión americana. Receta a base de la afamada malta pálida Maris Otter, de origen inglés, combinada con la potencia de dos lúpulos americanos como el Cascade y  ..."
2692,"La Cabra del Maresme Royal Black starstarstarstar_halfstar_border 3,40 ",Imperial Stout - 8.2 º,"La Cabra del Maresme Royal Black - Imperial Stout
Cerveza de color negro oscuro, densa, seca en boca dejando una amargura con notas de caramelo y maltas tostadas. En menor medida se perciben matices de regaliz, café y frutos negros. Espuma densa, cremosa y persistente."
2693,"Aiaragardo APA! starstarstarstar_halfstar_border 3,55 ",American Pale Ale - 5.5 º - 24 IBU,"Aiaragardo APA!
American Pale Ale maltosa, ligera, fresca, de color cobrizo, abundante espuma y agradables notas a lúpulo."
2694,"Garagart Gautxori starstarstarstar_halfstar_border 3,65 ",Black IPA - 7.1 º - 68 IBU,"Garagart Gautxori Black Ale - Black IPA
La cerveza que se rebela ante las costumbres sociales. El blanco que quiso ser negro. El cantante de country que quiso hacer jazz. Las maltas tostadas y los sabores tropicales de los lúpulos se conjugan para formar una bonita historia de amor."
2695,"Vacceum Raíz starstarstarstar_halfstar_border 3,50 ","Spice, Herb o Vegetable Beer - 7.5 º","Vacceum Raíz
Ale Ámbar
Ámbar, 7,5% Vol. Alc. de fermentación alta, producida con maltas pilsen y munich de San Adrián (NA). Lúpulos de León e ingleses y un matiz de jengibre y regaliz de palo, lo que le da su nombre. Balsámica, con mucho cuerpo, aroma intenso y persistente. Sabor de l ..."
2696,"The Flying Inn Nemesis starstarstarstar_halfstar_border 3,71 ",American IPA - 5.8 º - 60 IBU,"The Flying Inn Nemesis
India Pale Ale
Una renovación de nuestra antigua Liquid Nemesis. Ahora más fresca y aromática. Elaborada con lúpulos Mosaic, Mandarina Bavaria, Citra Y Chinook. Young as morning, fresh as dew."
2697,"Yria U.F.O. starstarstarstar_halfstar_border 3,39 ",India Pale Ale - 6 º,"Yria U.F.O.
India Pale Ale
Centennial Edition"
2698,"Edge Brewing Voila starstarstarstar_halfstar_border 3,39 ",Blonde Ale - 5.6 º - 23 IBU,"Edge Brewing Voila!
Dry Hopped Blonde
Delicate spiciness (clove), with some earthy notes, and the aromatics of soft fruit. Light bodied with medium to high carbonation."
2699,Edge Brewing / Boneyard Beer Skull Cap ,Imperial IPA - 8 º - 58 IBU,"Edge Brewing / Boneyard Beer Skull Cap
Imperial IPA
Boneyard makes no apologies for their unabashed love of lupulins, nor should they. So when they came to brew with us we knew exactly what needed to happen. We bought a jamón, stocked up on hops, and got to work. SKULL CAP is the fruit of ou ..."
2700,Edge Brewing / Oskar Blues Uranium Typhoon ,American IPA - 5.6 º - 40 IBU,"Edge Brewing / Oskar Blues Uranium Typhoon
American IPA
We joined forces with pioneers Oskar Blues on a journey to create an atomic IPA with international influences. Refreshing bitterness is complemented by tropical and aromatic hops from Australia, South Africa and the USA."
2701,"Forastera Zulena Wipa starstarstarstar_borderstar_border 2,94 ",White IPA - 4.5 º - 45 IBU,"Forastera Zulena Wipa
Zulena Session Wheat India Pale Ale
Amable guerrera de trigo con aroma de tréboles y naranjas."
2702,"Malnombre Malahostia starstarstarstarstar_border 4,03 ",Stout - 8 º - 75 IBU,"Malnombre Malahostia
La Malahostia es un Double Rye Stout con chile piri-piri ahumado con madera de roble. Lúpulos cítricos para contrastar con el toque justo de picor y ahumado del chile.
La primera de una serie de tres variaciones donde, manteniendo la misma receta, cambiaremos la varieda ..."
